Date,"December 31 2025,","December 31 2024,"
(in EUR millions),2025,2024
Goodwill,223,226
Intangible assets,"1,199","1,150"
Flight equipment,"13,651","12,347"
"Other property, plant and equipment","1,679","1,533"
Right-of-use assets,"9,452","7,592"
Investments in equity associates,246,216
Pension assets,57,66
Other non-current financial assets,"1,267","1,369"
Non-current derivative financial assets,118,195
Deferred tax assets,713,662
Other non-current assets,278,214
Total non-current assets,"28,883","25,570"
Other current financial assets,"1,360","1,190"
Current derivative financial assets,33,249
Inventories,992,959
Trade receivables,"2,216","2,051"
Other current assets,"1,224","1,260"
Cash and cash equivalents,"4,714","4,829"
Assets held for sale,23,47
Total current assets,"10,562","10,585"
TOTAL ASSETS,"39,445","36,155"
