(in EUR millions),2025,2024
Revenues from ordinary activities,33007,31459
External expenses,-19393,-19095
Salaries and related costs,-9888,-9461
Taxes other than income taxes,-180,-176
Other current operating income and expenses,1512,1517
"Amortization, depreciation and provisions",-3054,-2643
Operating expenses,-31003,-29858
Income from current operations,2004,1601
Sales of aircraft equipment,43,37
Other non-current income and expenses,-45,-172
Income from operating activities,2002,1466
Interests expenses,-627,-631
Income from cash and cash equivalents,196,303
Net cost of financial debt,-431,-328
Other financial income and expenses,292,-546
Income before tax of consolidated companies,1863,592
Income taxes,-123,-84
Net income of consolidated companies,1740,508
Share of profits (losses) of associates,14,-19
Net income for the period,1754,489
Net income  Non-controlling interests,161,172
Net income  Group part,1593,317
Earnings per share (in EUR),3.48,0.69
