
(in EUR millions),2025,2024
Issued capital,263,263
Additional paid-in capital,"7,560","7,560"
Treasury shares,-27,-27
Perpetual,"1,281","1,078"
Reserves and retained earnings,"-8,779","-10,638"
Equity attributable to equity holders of Air France-KLM,298,"-1,764"
Perpetual,"2,026","2,530"
Reserves and retained earnings,40,33
Equity attributable to non-controlling interests,"2,066","2,563"
EQUITY,"2,364",799
Pension provisions,"1,654","1,686"
"Non-current return obligation liabilities and provisions for leased aircrafts and other
provisions","4,818","4,493"
Non-current financial liabilities,"7,265","7,254"
Non-current lease debt,"5,487","4,714"
Non-current derivative financial liabilities,199,32
Deferred tax liabilities,-73,2
Other non-current liabilities,545,904
Total non-current liabilities,"19,968","19,085"
"Current return obligation liabilities and provisions
for leased aircrafts and other provisions","1,142","1,181"
Current financial liabilities,"1,803","1,692"
Current lease debt,958,982
Current derivative financial liabilities,255,137
Trade payables,"2,723","2,608"
Deferred revenue on ticket sales,"4,264","4,097"
Frequent flyer programs,921,906
Other current liabilities,"5,047","4,668"
Total current liabilities,"17,113","16,271"
TOTAL LIABILITIES,"37,081","35,356"
TOTAL EQUITY AND LIABILITIES,"39,445","36,155"
